Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
0010-09402,Applied Materials ,1,ebay,"Throttle Valve, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09402-Throttle-Valve-Assy-AMAT-CVD/232938598015?hash=item363c38ee7f:g:yJIAAOSw43Jbp8VG
0010-09402W,Applied Materials ,1,ebay,"Throttle Valve, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09402W-Throttle-Valve-Assy-AMAT-CVD/232222403995?hash=item361188ad9b:g:XIcAAOSw-0xYjudM
0010-09418,Applied Materials ,2,ebay,"Hose, Nelab",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-09418-NESLAB-Heat-Exchanger-Hose-Assy-50FT/232026903634?hash=item3605e19452:g:HUYAAOSwENxXltrR:rk:1:pf:0
0010-09487,Applied Materials ,1,ebay,Endpoint Detector/Sensor,Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-09487-Endpoint-Detector-Sensor/331984167568?hash=item4d4bcc6290:g:7lIAAOSwLF1X6zRI
0010-09499,Applied Materials ,1,ebay,"Hinge, Assy. Position B or C Bolt Down Etch",Etch,New,
0010-09559,Applied Materials ,1,ebay,"Pedestal, Assy.",Etch,New,
0010-09732,Applied Materials,1,ebay,Pedestal,Etch,New,
0010-09789,Applied Materials ,1,ebay,"Bearing, Assy.",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-09789-Bearing-Assy-AMAT-Etch/232166538380?hash=item360e343c8c:g:ISUAAOSwo4pYR1cI:rk:1:pf:0
0010-09806,Applied Materials ,2,ebay,"Gas Box, WSI 150 mm",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09806-Gas-Box-WSI-150-MM-AMAT/331919125954?hash=item4d47ebedc2:g:mpUAAOSwtnpXltr3
0010-09837,Applied Materials ,2,ebay,"Wafer Lift, Assy.",CVD,New,
0010-09843,Applied Materials ,1,ebay,"Manifold, Insulation  H20 VDS",5000,New,
0010-09875,Applied Materials ,2,ebay,"Vaporline, VDS",ASP,New,https://www.ebay.com/itm/Applied-Materials-0010-09875-Vaporline-VDS-AMAT-P-5000/331980235921?hash=item4d4b906491:g:DGMAAOSwCGVX5a1z:rk:1:pf:0
0010-09875,Applied Materials ,1,ebay,"Vaporline, VDS",ASP,Used,https://www.ebay.com/itm/Applied-Materials-0010-09875-Vaporline-VDS-Assy-AMAT-VDS/232092880199?hash=item3609d04d47:g:DqUAAOSwOyJX5bOi
0010-09919,Applied Materials ,2,ebay,"Pedestal, 200 MM",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-09919-Pedestal-200-MM-AMAT-Etch/331919128537?hash=item4d47ebf7d9:g:TS0AAOSwbsBXltxi
0010-09928,Applied Materials ,1,ebay,"Controller Box, ESC",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-09928-Controller-Box-ESC-AMAT-P-5000-Etch/332876669206?hash=item4d80fee116:g:OMQAAOSw9V9b54eQ
0010-09928,Applied Materials ,1,ebay,"Controller Box, ESC",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-09928-Controller-Box-ESC-AMAT-P-5000-Etch/232876194861?hash=item363880bc2d:g:Zw4AAOSwvmxbZ5ZR
0010-09933,Applied Materials ,3,ebay,"HV Module, Assy.",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-09933-HV-Module-Assy-AMAT-Etch/232696156733?hash=item362dc5923d:g:CSsAAOSwV2Napw6T
0010-09936,Applied Materials ,2,ebay,"CONN,HV,MODULE ASSY,RF BOX, ESC",Etch,New,
0010-09940,Applied Materials ,1,ebay,"Gas Box, WSI    ",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09940-Gas-Box-WSI-CVD-AMAT/232026906509?hash=item3605e19f8d:g:KNQAAOSwdzVXltxu:rk:2:pf:0
0010-09968,Applied Materials ,1,ebay,"Throttle Valve, Heated",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-09968-Throttle-Valve-Heated-AMAT-Etch/332961128311?hash=item4d86079f77:g:Rp0AAOSwE~ZcGEG2
0010-10033,Applied Materials ,1,ebay,"Wafer Lift, Assy. Ceramic Hoop",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-10033-Wafer-Lift-Assy-Ceramic-Hoop-AMAT-CVD/232911042790?hash=item363a9478e6:g:UzMAAOSwU1hbiJPx
0010-10033,Applied Materials ,1,ebay,"Wafer Lift, Assy. Ceramic Hoop",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-10033-Wafer-Lift-Assy-Ceramic-Hoop-CVD/332786127817?hash=item4d7b9953c9:g:fY8AAOSwDLVbiKZr
0010-10038,Applied Materials ,1,ebay,"N2 Doping Kit, Assy.",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-10038-N2-Doping-Kit/331919128752?hash=item4d47ebf8b0:g:KdYAAOSwdzVXltx6:rk:1:pf:0
0010-10045,Applied Materials ,8,ebay,"Pump Stack Htr. AC, Assy.",5000,New,https://www.ebay.com/itm/Applied-Materials-0010-10045-Pump-Stack-Htr-AC-Box-Assy-AMAT-Etch/232026906619?hash=item3605e19ffb:g:YtIAAOSwZVlXltyB
0010-10055,Applied Materials ,1,ebay,"Gas Box, WXZ           ",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-10055-Gas-Box-WXZ-AMAT-CVD/232179848450?hash=item360eff5502:g:0BMAAOSwZQRYWD~S:rk:1:pf:0
0010-10128,Applied Materials ,1,ebay,"Susceptor, Assy. BWCVD 200 MM",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-10128-Susceptor-Assy-BWCVD-200-MM/232097589633?hash=item360a182981:g:-zYAAOSw8gVX7At5
0010-10139,Applied Materials ,1,ebay,"Hinge, Adjustable Uni-lid A&D AMAT MXP Etch",Etch,New,
0010-10140,Applied Materials ,1,ebay,"Hinge, Adjustable Uni-Lid ",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-10140-Hinge-Adjustable-Uni-Lid-AMAT-Etch/232468023521?hash=item36202c88e1:g:g6cAAOSwDKpZpLFO
0010-10141,Applied Materials ,3,ebay,"Wafer Position Sensor, Assy.",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-10141-Wafer-Position-Sensor-Assy-Precision-5000-AMAT/232029387753?hash=item3606077be9:g:tXAAAOSwqfNXmS1A
0010-10177,Applied Materials ,2,ebay,"Pedestal Assy, Ni 5, 200 MM, Notch ESC",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-10177-Pedestal-Assy-Ni-5-200-MM-Notch-ESC/232041566690?hash=item3606c151e2:g:x~gAAOSwaB5Xp5OB:rk:1:pf:0
0010-10436,Applied Materials ,1,ebay,"AC Distribution, Assy.",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-10436-AC-Distribution-Assy/232097554233?hash=item360a179f39:g:vSsAAOSwLnBX7ACH:rk:1:pf:0
0010-10556,Applied Materials ,1,ebay,"Monchrometer Module, Assy.",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-10556-Monochromator-Module-Assy-AMAT-Centura/232026874899?hash=item3605e12413:g:PDQAAOSw-YVXltDQ
0010-10579,Applied Materials ,1,ebay,"RF Match, Etch Mxp+",Etch,Used,https://www.ebay.com/itm/Applied-Materials-0010-10579-RF-Match-Assy-Etch-Mxp-AMAT-Etch/332067451474?hash=item4d50c33252:g:7cUAAOSwImRYWHlO:rk:1:pf:0
0010-10581,Applied Materials ,1,ebay,Non-Heated Throttle/Gate Valve,Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-10581-Non-Heated-Throttle-Valve-AMAT-Etch/232468136408?hash=item36202e41d8:g:h~4AAOSwz~VZpM84
0010-10636,Applied Materials ,1,ebay,"P-Chuck, 200 MM Thick Cable W/Ground",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-10636-P-Chuck-Assy-200-MM-CVD-AMAT/331919128856?hash=item4d47ebf918:g:d5QAAOSw0RpXltyJ:rk:1:pf:0
0010-10758,Applied Materials,1,ebay,"ASSY, DSGD LID, MXP & MK II CHBR, VCR, P",Etch,New,
0010-10902,Applied Materials ,1,ebay,"Connector, HV Module,  Assy.",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-10902-Connector-HV-Module-Assy-AMAT-Etch/332151716815?hash=item4d55c8fbcf:g:fEQAAOSwxEpYxDmG
0010-10973,Applied Materials ,1,ebay,"H.O.T. Detector, Assy.",Etch,New,https://www.ebay.com/itm/Applied-Materials-0010-10973-H-O-T-Detector-Assy-AMAT-Etch/331919128920?hash=item4d47ebf958:g:eD4AAOSw0RpXltyS
0010-20015,Applied Materials ,1,ebay,"Lift, Assy. Orienter",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-20015-Lift-Assy-Orienter-A-K-A-0010-20230/332360930519?hash=item4d624154d7:g:ZBcAAOSwGY1ZpLFp
0010-20015,Applied Materials ,1,ebay,"Lift, Assy. Orienter",Other Items,Used,https://www.ebay.com/itm/Applied-Materials-0010-20015-Lift-Assy-Orienter-AMAT-PVD/331951762767?hash=item4d49dded4f:g:rOAAAOSwdzVXwIll
0010-20101,Applied Materials ,2,ebay,"Door, Assy. Slit Valve",Other Items,New,
0010-20169,Applied Materials ,2,ebay,"Phase/Mag, RF Match",Endura,New,
0010-20230,Appiled Materials ,1,ebay,"Lift, Assy. Orienter",Other Items,New,https://www.ebay.com/itm/Applied-Materials-0010-20230-Lift-Assy-Orienter-AMAT-Wafer-Orienter/332359532814?hash=item4d622c010e:g:YzwAAOSwYZ9Zoxjg
